symbol,spot_price,spot_price_chg_pct,total_traded_vol,delivery_vol_pct,futures_ltp,futures_price_chg_pct,futures_oi,futures_oi_prev,futures_oi_chg_pct,futures_buildup,pcr_ratio,imm_resistance_strike,imm_resistance_strength,imm_resistance_rating,imm_resistance_buildup,imm_support_strike,imm_support_strength,imm_support_rating,imm_support_buildup,global_ce_wall,global_pe_wall,max_pain,risk_flag_code,risk_alert_title,risk_description
INDIGO,5117,-3.54,1652164,63.19%,5100.5,-3.68,6003900,5614650,6.93,Short Buildup,0.888,5150.0,83,STRONG,Short Buildup,5100.0,70,MODERATE,–,5300.0,5100.0,5200.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 5100.0 (MODERATE) | Resistance at 5150.0 (STRONG).
INDUSTOWER,394.85,-2.37,2210902,35.20%,400.6,-1.07,85506600,83577100,2.31,Short Buildup,0.739,395.0,38,WEAK,–,390.0,70,MODERATE,–,410.0,370.0,400.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 390.0 (MODERATE) | Resistance at 395.0 (WEAK).
INFY,1052.1,-1.99,7517203,56.33%,1052.3,-2.08,100124800,100063600,0.06,Short Buildup,1.103,1055.0,52,MODERATE,–,1050.0,63,MODERATE,–,1100.0,1050.0,1070.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1050.0 (MODERATE) | Resistance at 1055.0 (MODERATE).
INOXWIND,76.67,-2.97,11390993,40.43%,76.86,-2.87,98278400,96710400,1.62,Short Buildup,0.668,77.0,60,MODERATE,–,76.0,85,STRONG,–,80.0,75.0,83.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 76.0 – 77.0.
IOB,34.59,-1.87,3920420,47.18%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
IOC,142.03,-0.89,9024642,55.13%,141.36,-1.33,149048250,142203750,4.81,Short Buildup,0.862,142.5,45,WEAK,–,142.0,43,WEAK,–,150.0,140.0,142.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 142.0 (WEAK) | Resistance at 142.5 (WEAK).
IPCALAB,1788.5,-0.58,193000,46.84%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
IRCTC,494.05,-1.15,670020,60.69%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
IRFC,87.39,-1.04,5926795,43.97%,87.0,-1.32,90206900,89284650,1.03,Short Buildup,0.802,88.0,81,STRONG,Short Buildup,87.0,69,MODERATE,Long Buildup,100.0,85.0,90.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 87.0 – 88.0.
ITC,280.8,-0.07,12995017,57.80%,281.15,0.02,131232825,131201775,0.02,Long Buildup,0.732,282.0,60,MODERATE,–,280.0,78,MODERATE,–,290.0,280.0,290.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 280.0 – 282.0.
JKCEMENT,5762,1.84,144890,49.78%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
JKPAPER,389.3,3.55,6783489,14.73%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
JSWSTEEL,1266.9,-0.04,3988761,73.97%,1264.0,-0.24,37941750,37588725,0.94,Short Buildup,0.528,1270.0,92,STRONG,Short Buildup,1260.0,72,MODERATE,Short Buildup,1300.0,1100.0,1240.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1260.0 – 1270.0.
JUBLFOOD,417.2,-1.95,701088,35.11%,418.5,-1.61,19043750,19043750,0.0,Flat,0.938,420.0,80,STRONG,–,415.0,69,MODERATE,Long Buildup,450.0,400.0,435.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 415.0 – 420.0.
KALYANKJIL,596.1,3.31,32800326,16.38%,594.55,2.65,30281850,30281850,0.0,Flat,0.727,600.0,77,MODERATE,Long Buildup,595.0,71,MODERATE,Short Buildup,600.0,500.0,530.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 595.0 – 600.0.
KOTAKBANK,381.15,-1.24,11688952,71.79%,381.55,-1.27,152584000,146140000,4.41,Short Buildup,0.611,382.5,82,STRONG,Short Buildup,380.0,62,MODERATE,Long Buildup,400.0,380.0,385.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 380.0 – 382.5.
LALPATHLAB,1699,-0.06,181603,59.86%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
LEMONTREE,108.91,-1.84,3581167,55.48%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
LICHSGFIN,538.6,-1.82,616187,54.80%,538.85,-1.81,19346000,19112000,1.22,Short Buildup,0.827,540.0,74,MODERATE,Short Buildup,535.0,85,STRONG,Long Buildup,600.0,520.0,550.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 535.0 – 540.0.
LICI,423.3,-1.49,1110423,47.25%,425.25,-1.28,20440000,20433000,0.03,Short Buildup,0.983,425.0,77,MODERATE,Short Buildup,422.5,72,MODERATE,–,450.0,400.0,430.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 422.5 – 425.0.
LINDEINDIA,6840.5,-2.33,26168,73.39%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
LT,3817.4,-0.76,1157406,61.87%,3812.1,-0.93,13205675,12750150,3.57,Short Buildup,0.764,3820.0,60,MODERATE,–,3800.0,62,MODERATE,–,4000.0,3700.0,3940.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 3800.0 – 3820.0.
LTIM,0,0.0,–,–,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
LTTS,3333.2,0.81,80738,35.02%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
LUPIN,2406.9,-4.29,1224924,52.08%,2412.6,-4.04,5102125,5037100,1.29,Short Buildup,0.684,2420.0,84,STRONG,Short Buildup,2400.0,65,MODERATE,Long Buildup,2500.0,2160.0,2440.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 2400.0 – 2420.0.
M&M,3175.3,-0.82,1784375,53.11%,3172.7,-1.18,15151600,14848600,2.04,Short Buildup,0.539,3180.0,85,STRONG,Short Buildup,3160.0,61,MODERATE,Long Buildup,3200.0,3100.0,3120.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 3160.0 – 3180.0.
MANAPPURAM,350.2,-0.44,4714729,39.00%,351.15,-0.26,56352000,56094000,0.46,Short Buildup,0.714,355.0,95,STRONG,Short Buildup,350.0,72,MODERATE,–,370.0,300.0,335.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 350.0 – 355.0.
MARICO,862.65,1.07,1248595,55.65%,860.65,0.85,12358800,12012000,2.89,Long Buildup,0.489,865.0,72,MODERATE,Long Buildup,860.0,73,MODERATE,Short Buildup,900.0,800.0,850.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 860.0 – 865.0.
MARUTI,13545,-0.38,299404,50.79%,13530.0,-0.72,2189450,2139350,2.34,Short Buildup,0.619,13600.0,66,MODERATE,–,13500.0,58,MODERATE,–,14500.0,13000.0,13700.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 13500.0 (MODERATE) | Resistance at 13600.0 (MODERATE).
MCX,2803.9,0.1,980174,38.44%,2813.2,0.22,7701300,7573950,1.68,Long Buildup,0.547,2850.0,89,STRONG,Short Buildup,2800.0,77,MODERATE,Short Buildup,3000.0,2800.0,2800.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 2800.0 – 2850.0.
METROPOLIS,570.1,0.23,118276,43.76%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
MFSL,1523.3,-1.05,433346,67.55%,1528.0,-1.03,8581600,8542000,0.46,Short Buildup,0.718,1540.0,76,MODERATE,–,1520.0,74,MODERATE,–,1580.0,1500.0,1560.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1520.0 (MODERATE) | Resistance at 1540.0 (MODERATE).
MGL,1081.9,0.05,105486,51.18%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
MPHASIS,2273.8,-4.47,434670,42.09%,2271.0,-4.78,4843025,4677750,3.53,Short Buildup,0.913,2278.0,84,STRONG,Short Buildup,2258.0,85,STRONG,Long Buildup,2400.0,2238.0,2278.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 2258.0 – 2278.0.
NAUKRI,1189.3,-1.52,1736169,58.59%,1186.0,-1.42,13838000,13636700,1.48,Short Buildup,0.492,1200.0,87,STRONG,Short Buildup,1180.0,69,MODERATE,–,1220.0,1100.0,1140.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1180.0 – 1200.0.
NAVINFLUOR,7789,-1.18,188907,58.50%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
NBCC,94.74,-2.13,8605587,37.45%,94.69,-2.2,104565500,103746500,0.79,Short Buildup,0.642,95.0,70,MODERATE,Short Buildup,93.0,82,STRONG,Long Buildup,100.0,90.0,100.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 93.0 – 95.0.
NCC,137.75,-1.11,1418006,47.61%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
NESTLEIND,1493.6,2.87,6542494,32.16%,1502.0,3.22,11630500,10926500,6.44,Long Buildup,0.479,1500.0,85,STRONG,–,1490.0,27,WEAK,–,1500.0,1400.0,1450.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1490.0 (WEAK) | Resistance at 1500.0 (STRONG).
NHPC,80.28,-0.04,9932836,53.39%,80.01,0.36,129228300,127560300,1.31,Long Buildup,0.46,81.0,87,STRONG,–,80.0,76,MODERATE,–,88.0,70.0,80.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 80.0 – 81.0.
NIFTY,23996.25,-0.79,–,–,23982.0,-0.82,14525615,14333150,1.34,Short Buildup,0.82,24000.0,81,STRONG,Short Buildup,23950.0,69,MODERATE,Long Buildup,24200.0,23000.0,24100.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 23950.0 – 24000.0.
NMDC,83.34,-0.7,12894573,52.54%,83.29,-1.08,362724750,361739250,0.27,Short Buildup,0.842,84.0,76,MODERATE,Short Buildup,83.0,70,MODERATE,Long Buildup,90.0,82.0,85.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 83.0 – 84.0.
NTPC,350.5,0.56,7035952,66.86%,350.0,0.44,126507000,121848000,3.82,Long Buildup,0.374,352.5,80,STRONG,Long Buildup,350.0,73,MODERATE,Short Buildup,367.5,345.0,350.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 350.0 – 352.5.
NYKAA,326.6,-0.41,7608062,53.46%,328.0,0.05,45603125,44943750,1.47,Long Buildup,0.826,330.0,86,STRONG,–,325.0,80,STRONG,Short Buildup,330.0,300.0,315.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 325.0 – 330.0.
OBEROIRLTY,1851.5,-1.77,308272,28.19%,1837.6,-2.04,6206200,6114150,1.51,Short Buildup,0.941,1860.0,85,STRONG,–,1840.0,53,MODERATE,–,1960.0,1760.0,1880.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1840.0 (MODERATE) | Resistance at 1860.0 (STRONG).
OFSS,10851,-6.71,407161,38.93%,10800.0,-7.47,1648500,1616700,1.97,Short Buildup,0.768,10900.0,82,STRONG,–,10800.0,50,MODERATE,–,12000.0,10000.0,11200.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 10800.0 (MODERATE) | Resistance at 10900.0 (STRONG).
OIL,451.15,1.35,2534069,43.09%,451.45,1.48,18333000,18180400,0.84,Long Buildup,0.578,455.0,78,MODERATE,–,450.0,75,MODERATE,–,480.0,410.0,435.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 450.0 – 455.0.
ONGC,251.9,0.8,10909821,52.55%,251.49,0.7,80991000,80590500,0.5,Long Buildup,0.422,252.5,77,MODERATE,–,250.0,71,MODERATE,–,255.0,250.0,245.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 250.0 (MODERATE) | Resistance at 252.5 (MODERATE).
PAGEIND,39820,-0.69,18127,54.25%,39920.0,-0.31,290680,288680,0.69,Short Buildup,0.536,40000.0,70,MODERATE,–,39750.0,100,STRONG,–,40000.0,39000.0,40000.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 39750.0 (STRONG) | Resistance at 40000.0 (MODERATE).
PAYTM,1267,-2.58,3940599,28.50%,1273.3,-2.14,22846925,22335800,2.29,Short Buildup,0.385,1270.0,100,STRONG,–,1260.0,72,MODERATE,–,1400.0,1200.0,1300.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 1260.0 (MODERATE) | Resistance at 1270.0 (STRONG).
PERSISTENT,5098.8,-2.3,385227,37.55%,5077.9,-2.63,4607500,4498375,2.43,Short Buildup,0.939,5100.0,70,MODERATE,Short Buildup,5050.0,0,WEAK,–,5200.0,5000.0,5000.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 5050.0 (WEAK) | Resistance at 5100.0 (MODERATE).
PETRONET,279.65,1.08,3065377,66.51%,279.45,1.05,32039700,31650200,1.23,Long Buildup,0.859,280.0,56,MODERATE,–,277.5,78,MODERATE,Short Buildup,290.0,260.0,280.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 277.5 (MODERATE) | Resistance at 280.0 (MODERATE).
PFC,412.3,-0.61,2654166,57.54%,411.95,-0.64,49389600,49333700,0.11,Short Buildup,0.601,415.0,86,STRONG,Short Buildup,410.0,72,MODERATE,Long Buildup,420.0,400.0,420.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 410.0 – 415.0.
PHOENIXLTD,2055.6,-1.7,470021,61.35%,2052.2,-1.91,3269000,3241000,0.86,Short Buildup,0.692,2060.0,77,MODERATE,Short Buildup,2040.0,89,STRONG,Long Buildup,2300.0,1960.0,2060.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 2040.0 – 2060.0.
PIDILITIND,1608.6,1.09,1518908,63.54%,1594.4,0.92,7148500,6894000,3.69,Long Buildup,0.421,1610.0,76,MODERATE,Long Buildup,1600.0,74,MODERATE,Short Buildup,1700.0,1560.0,1580.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1600.0 – 1610.0.
PIIND,2697.6,0.59,374117,33.73%,2698.9,0.65,2896250,2868075,0.98,Long Buildup,0.57,2700.0,64,MODERATE,Long Buildup,2680.0,74,MODERATE,Short Buildup,2800.0,2600.0,2680.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 2680.0 – 2700.0.
PNB,110.73,-1.2,20951785,55.04%,110.74,-1.15,266424000,262072000,1.66,Short Buildup,0.654,111.0,85,STRONG,Short Buildup,110.0,65,MODERATE,–,118.0,105.0,108.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 110.0 – 111.0.
POLYCAB,9090.5,2.1,588610,42.07%,9110.0,2.15,2531375,2528750,0.1,Long Buildup,0.752,9100.0,64,MODERATE,Long Buildup,9000.0,80,STRONG,Short Buildup,10000.0,8500.0,9200.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 9000.0 – 9100.0.
POWERGRID,289.3,0.91,4595987,62.67%,288.55,0.73,62652500,57862600,8.28,Long Buildup,0.44,290.0,78,MODERATE,–,287.5,25,WEAK,–,290.0,285.0,287.5,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 287.5 (WEAK) | Resistance at 290.0 (MODERATE).
PRESTIGE,1663.1,-2.57,723434,53.54%,1667.7,-2.36,4992750,4937400,1.12,Short Buildup,0.581,1680.0,81,STRONG,Short Buildup,1660.0,59,MODERATE,Long Buildup,1700.0,1640.0,1640.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1660.0 – 1680.0.
PVRINOX,992.65,-0.84,99257,44.13%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
RAMCOCEM,907,-1.18,85725,47.66%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
RBLBANK,355.5,-3.19,4420773,43.19%,356.55,-3.33,45212000,45208825,0.01,Short Buildup,0.52,360.0,84,STRONG,Short Buildup,355.0,67,MODERATE,Long Buildup,380.0,350.0,360.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 355.0 – 360.0.
RECLTD,360.65,-0.39,2248543,59.63%,359.35,-0.4,39940425,39940425,0.0,Flat,0.625,365.0,89,STRONG,Short Buildup,360.0,62,MODERATE,–,370.0,360.0,360.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 360.0 – 365.0.
RELIANCE,1288.6,-1.16,10840383,70.32%,1287.7,-1.42,94874000,94841000,0.03,Short Buildup,0.531,1290.0,81,STRONG,Short Buildup,1280.0,72,MODERATE,Long Buildup,1350.0,1250.0,1320.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1280.0 – 1290.0.
RVNL,223.11,-0.95,3034876,30.14%,223.62,-1.15,35350700,35294875,0.16,Short Buildup,0.535,225.0,87,STRONG,Short Buildup,220.0,79,MODERATE,Long Buildup,250.0,220.0,240.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 220.0 – 225.0.
SAIL,161.98,-1.27,11621931,35.83%,161.26,-1.87,194424900,193776300,0.33,Short Buildup,0.614,162.5,88,STRONG,Short Buildup,160.0,75,MODERATE,Long Buildup,170.0,155.0,170.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 160.0 – 162.5.
SBICARD,626.85,-2.82,1812968,44.48%,625.0,-3.01,24237600,24211200,0.11,Short Buildup,0.452,630.0,82,STRONG,–,620.0,65,MODERATE,–,690.0,600.0,620.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 620.0 – 630.0.
SBILIFE,1806.7,-1.16,484506,61.58%,1809.7,-0.91,7074375,6925875,2.14,Short Buildup,0.65,1820.0,82,STRONG,Short Buildup,1800.0,70,MODERATE,Long Buildup,1900.0,1800.0,1820.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1800.0 – 1820.0.
SBIN,1025,-1.86,11227214,58.64%,1024.5,-2.06,59022750,56475000,4.51,Short Buildup,0.746,1030.0,83,STRONG,Short Buildup,1020.0,65,MODERATE,–,1050.0,1020.0,1040.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1020.0 – 1030.0.
SHREECEM,26720,-1.93,11733,43.66%,26600.0,-2.13,345825,341525,1.26,Short Buildup,0.647,26750.0,83,STRONG,Short Buildup,26500.0,73,MODERATE,–,28000.0,26000.0,26000.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 26500.0 – 26750.0.
SHYAMMETL,1030.15,-3.06,276198,58.53%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
SIEMENS,3649.4,-0.5,226832,28.61%,3639.3,-0.96,3708600,3699500,0.25,Short Buildup,0.545,3650.0,77,MODERATE,Short Buildup,3600.0,62,MODERATE,Long Buildup,3700.0,3500.0,3650.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 3600.0 – 3650.0.
SJVN,68.66,0.01,2151266,47.24%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
SONACOMS,726.5,-0.85,2080575,47.37%,728.0,-0.92,14725725,14684075,0.28,Short Buildup,0.655,730.0,85,STRONG,–,720.0,73,MODERATE,–,740.0,700.0,680.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 720.0 – 730.0.
SPICEJET,0,0.0,–,–,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
SRF,2867.2,-2.44,1576048,20.24%,2813.0,-4.72,4041400,3534800,14.33,Short Buildup,0.545,2880.0,84,STRONG,Short Buildup,2860.0,45,WEAK,–,3000.0,2700.0,2850.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 2860.0 – 2880.0.
STAR,1040.7,-1.01,282236,46.74%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
SUMICHEM,531.2,-1.7,294276,47.49%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
SUNDARMFIN,4420,-1.18,39053,61.80%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
SUNDRMBRAK,0,0.0,–,–,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
SUNPHARMA,1943,-0.96,1718430,64.99%,1938.1,-1.14,15878100,15075200,5.33,Short Buildup,0.463,1960.0,95,STRONG,Short Buildup,1940.0,59,MODERATE,Long Buildup,1960.0,1900.0,1900.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1940.0 – 1960.0.
SUNTV,490.8,-0.72,79598,54.66%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
SUPREME,44.73,-1.28,24915,70.57%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
TATACHEM,691.65,0.14,582006,34.25%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
TATACOMM,1761.4,-3.16,1705525,24.50%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
TATACONSUM,1094.9,1.24,1519534,45.91%,1099.7,1.46,15128850,14913800,1.44,Long Buildup,1.089,1100.0,67,MODERATE,Long Buildup,1090.0,81,STRONG,Short Buildup,1100.0,1000.0,1100.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1090.0 – 1100.0.
TATAELXSI,3406.6,-1.59,367148,45.37%,3418.8,-1.26,3277375,3273375,0.12,Short Buildup,0.731,3450.0,81,STRONG,Short Buildup,3400.0,81,STRONG,Long Buildup,4000.0,3300.0,3600.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 3400.0 – 3450.0.
TATAMOTORS,0,0.0,–,–,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
TATAMTRDVR,0,0.0,–,–,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
TATAPOWER,378.55,-0.76,2152210,39.14%,378.4,-0.75,57080700,56300600,1.39,Short Buildup,0.911,380.0,82,STRONG,Short Buildup,375.0,86,STRONG,Long Buildup,400.0,350.0,390.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 375.0 – 380.0.
TATASTEEL,186.53,-0.38,16643117,51.46%,186.04,-0.6,164419750,163284000,0.7,Short Buildup,0.568,187.5,91,STRONG,–,185.0,82,STRONG,–,190.0,185.0,190.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 185.0 – 187.5.
TCS,2208.3,-0.58,1599665,39.85%,2211.1,-0.67,37121175,36988200,0.36,Short Buildup,0.704,2220.0,84,STRONG,Short Buildup,2200.0,61,MODERATE,Long Buildup,2400.0,2000.0,2140.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 2200.0 – 2220.0.
TECHM,1560.6,-1.0,975901,46.31%,1559.8,-0.9,20197800,20196000,0.01,Short Buildup,0.784,1564.0,78,MODERATE,Short Buildup,1560.0,62,MODERATE,Long Buildup,1600.0,1500.0,1500.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 1560.0 – 1564.0.
THERMAX,4718.5,-2.53,129520,51.49%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
TIINDIA,2903.7,-0.19,204286,37.63%,2907.8,-0.31,1919000,1917000,0.1,Short Buildup,0.656,2920.0,88,STRONG,Short Buildup,2900.0,78,MODERATE,Short Buildup,3000.0,2700.0,2950.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 2900.0 – 2920.0.
TITAN,4711.6,0.49,996475,60.81%,4717.3,0.7,5124700,5090750,0.67,Long Buildup,0.742,4750.0,79,MODERATE,Long Buildup,4700.0,76,MODERATE,Short Buildup,4900.0,4450.0,4550.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 4700.0 – 4750.0.
TORNTPHARM,5033.4,-0.14,290320,51.42%,5036.2,0.07,3611625,3590750,0.58,Long Buildup,0.853,5050.0,97,STRONG,–,5000.0,82,STRONG,Short Buildup,5100.0,4900.0,4900.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 5000.0 – 5050.0.
TORNTPOWER,1433.1,-0.19,303353,70.75%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
TRENT,2887.3,-0.26,628545,52.29%,2894.0,-0.1,11985075,11984850,0.0,Short Buildup,0.706,2900.0,83,STRONG,–,2880.0,79,MODERATE,Short Buildup,3000.0,2800.0,2950.0,RANGE_LOCK_STABLE,🛡️ INSTITUTIONAL RANGE LOCK,Writers actively defending both sides between 2880.0 – 2900.0.
TTKPRESTIG,657.1,0.14,34981,51.92%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
TVSMOTOR,3907.6,3.05,3225267,35.91%,3912.0,3.09,12783400,12431825,2.83,Long Buildup,0.426,3920.0,100,STRONG,–,3900.0,46,WEAK,–,4000.0,3800.0,3760.0,NEUTRAL_BALANCED,⚖️ BALANCED ATM BOUNDS,Immediate bounds: Support at 3900.0 (WEAK) | Resistance at 3920.0 (STRONG).
UBL,1431,1.89,312669,44.22%,0,0.0,0,0,0.0,–,,,,,,,,,,,,,,,
